% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.607	1	2	61	8	50	20	161	0
0.607	1	13	61	8	94	20	161	1
0.607	1	3	61	8	96	20	161	1
0.331	1	1	34	2	1	28	2292	0
0.332	1	1	34	3	1	28	2292	0
0.608	1	11	61	9	58	20	161	0
0.608	1	10	61	9	63	20	161	0
0.608	1	14	61	9	1	20	161	1
0.608	1	15	61	9	12	20	161	1
0.333	1	1	34	4	1	28	2292	0
0.334	1	1	34	5	1	28	2292	0
0.335	1	1	34	6	1	28	2292	0
0.609	1	8	61	10	71	20	161	0
0.609	1	4	61	10	78	20	161	0
0.609	1	5	61	10	20	20	161	1
0.609	1	7	61	10	29	20	161	1
0.336	1	1	34	7	1	28	2292	0
0.337	1	1	34	8	1	28	2292	0
0.61	1	12	62	1	82	20	161	0
0.61	1	1	62	1	87	20	161	0
0.338	1	1	34	9	1	28	2292	0
0.61	1	9	62	1	39	20	161	1
0.61	1	2	62	1	50	20	161	1
0.339	1	1	34	10	1	28	2292	0
0.34	1	1	35	1	1	28	2292	0
0.341	1	1	35	2	1	28	2292	0
0.611	1	6	62	2	91	20	161	0
0.611	1	13	62	2	94	20	161	0
0.611	1	11	62	2	58	20	161	1
0.611	1	10	62	2	63	20	161	1
0.342	1	1	35	3	1	28	2292	0
0.343	1	1	35	4	1	28	2292	0
0.344	1	1	35	5	1	28	2292	0
0.612	1	3	62	3	96	20	161	0
0.612	1	14	62	3	1	20	161	0
0.612	1	8	62	3	71	20	161	1
0.612	1	4	62	3	78	20	161	1
0.345	1	1	35	6	1	28	2292	0
0.346	1	1	35	7	1	28	2292	0
0.347	1	1	35	8	1	28	2292	0
0.348	1	1	35	9	1	28	2292	0
0.613	1	15	62	4	12	20	161	0
0.613	1	5	62	4	20	20	161	0
0.613	1	12	62	4	82	20	161	1
0.613	1	1	62	4	87	20	161	1
0.349	1	1	35	10	1	28	2292	0
0.35	1	1	36	1	1	28	2292	0
0.614	1	7	62	5	29	20	161	0
0.614	1	9	62	5	39	20	161	0
0.351	1	1	36	2	1	28	2292	0
0.614	1	6	62	5	91	20	161	1
0.614	1	13	62	5	94	20	161	1
0.352	1	1	36	3	1	28	2292	0
0.353	1	1	36	4	1	28	2292	0
0.354	1	1	36	5	1	28	2292	0
0.615	1	2	62	6	50	20	161	0
0.615	1	11	62	6	58	20	161	0
0.615	1	3	62	6	96	20	161	1
0.615	1	14	62	6	1	20	161	1
0.355	1	1	36	6	1	28	2292	0
0.356	1	1	36	7	1	28	2292	0
0.616	1	10	62	7	63	20	161	0
0.616	1	8	62	7	71	20	161	0
0.616	1	15	62	7	12	20	161	1
0.616	1	5	62	7	20	20	161	1
0.357	1	1	36	8	1	28	2292	0
0.358	1	1	36	9	1	28	2292	0
0.617	1	4	62	8	78	20	161	0
0.617	1	12	62	8	82	20	161	0
0.359	1	1	36	10	1	28	2292	0
0.617	1	7	62	8	29	20	161	1
0.617	1	9	62	8	39	20	161	1
0.36	1	1	37	1	1	28	2292	0
0.618	1	1	62	9	87	20	161	0
0.361	1	1	37	2	1	28	2292	0
0.618	1	6	62	9	91	20	161	0
0.618	1	2	62	9	50	20	161	1
0.618	1	11	62	9	58	20	161	1
0.362	1	1	37	3	1	28	2292	0
0.363	1	1	37	4	1	28	2292	0
0.364	1	1	37	5	1	28	2292	0
0.619	1	13	62	10	94	20	161	0
0.619	1	3	62	10	96	20	161	0
0.619	1	10	62	10	63	20	161	1
0.619	1	8	62	10	71	20	161	1
0.365	1	1	37	6	1	28	2292	0
0.366	1	1	37	7	1	28	2292	0
0.62	1	14	63	1	1	20	161	0
0.62	1	15	63	1	12	20	161	0
0.62	1	4	63	1	78	20	161	1
0.62	1	12	63	1	82	20	161	1
0.367	1	1	37	8	1	28	2292	0
0.368	1	1	37	9	1	28	2292	0
0.369	1	1	37	10	1	28	2292	0
0.621	1	5	63	2	20	20	161	0
0.621	1	7	63	2	29	20	161	0
0.621	1	1	63	2	87	20	161	1
0.621	1	6	63	2	91	20	161	1
0.37	1	1	38	1	1	28	2292	0
0.371	1	1	38	2	1	28	2292	0
0.622	1	9	63	3	39	20	161	0
0.622	1	2	63	3	50	20	161	0
0.622	1	13	63	3	94	20	161	1
0.622	1	3	63	3	96	20	161	1
0.372	1	1	38	3	1	28	2292	0
0.373	1	1	38	4	1	28	2292	0
0.623	1	11	63	4	58	20	161	0
0.623	1	10	63	4	63	20	161	0
0.374	1	1	38	5	1	28	2292	0
0.623	1	14	63	4	1	20	161	1
0.623	1	15	63	4	12	20	161	1
0.375	1	1	38	6	1	28	2292	0
0.624	1	8	63	5	71	20	161	0
0.624	1	4	63	5	78	20	161	0
0.624	1	5	63	5	20	20	161	1
0.624	1	7	63	5	29	20	161	1
0.376	1	1	38	7	1	28	2292	0
0.377	1	1	38	8	1	28	2292	0
0.378	1	1	38	9	1	28	2292	0
0.625	1	12	63	6	82	20	161	0
0.625	1	1	63	6	87	20	161	0
0.625	1	9	63	6	39	20	161	1
0.625	1	2	63	6	50	20	161	1
0.379	1	1	38	10	1	28	2292	0
0.38	1	1	39	1	1	28	2292	0
0.626	1	6	63	7	91	20	161	0
0.626	1	13	63	7	94	20	161	0
0.626	1	11	63	7	58	20	161	1
0.626	1	10	63	7	63	20	161	1
0.381	1	1	39	2	1	28	2292	0
0.382	1	1	39	3	1	28	2292	0
0.383	1	1	39	4	1	28	2292	0
0.627	1	3	63	8	96	20	161	0
0.627	1	14	63	8	1	20	161	0
0.627	1	8	63	8	71	20	161	1
0.627	1	4	63	8	78	20	161	1
0.384	1	1	39	5	1	28	2292	0
0.628	1	15	63	9	12	20	161	0
0.628	1	5	63	9	20	20	161	0
0.628	1	12	63	9	82	20	161	1
0.628	1	1	63	9	87	20	161	1
0.385	1	1	39	6	1	28	2292	0
0.386	1	1	39	7	1	28	2292	0
0.387	1	1	39	8	1	28	2292	0
0.629	1	7	63	10	29	20	161	0
0.629	1	9	63	10	39	20	161	0
0.629	1	6	63	10	91	20	161	1
0.629	1	13	63	10	94	20	161	1
0.388	1	1	39	9	1	28	2292	0
0.389	1	1	39	10	1	28	2292	0
0.63	1	2	64	1	50	20	161	0
0.63	1	11	64	1	58	20	161	0
0.63	1	3	64	1	96	20	161	1
0.63	1	14	64	1	1	20	161	1
0.39	1	1	40	1	1	28	2292	0
0.391	1	1	40	2	1	28	2292	0
0.392	1	1	40	3	1	28	2292	0
0.393	1	1	40	4	1	28	2292	0
0.631	1	10	64	2	63	20	161	0
0.631	1	8	64	2	71	20	161	0
0.631	1	15	64	2	12	20	161	1
0.631	1	5	64	2	20	20	161	1
0.394	1	1	40	5	1	28	2292	0
0.632	1	4	64	3	78	20	161	0
0.632	1	12	64	3	82	20	161	0
0.632	1	7	64	3	29	20	161	1
0.632	1	9	64	3	39	20	161	1
0.395	1	1	40	6	1	28	2292	0
0.396	1	1	40	7	1	28	2292	0
0.397	1	1	40	8	1	28	2292	0
0.398	1	1	40	9	1	28	2292	0
0.633	1	1	64	4	87	20	161	0
0.633	1	6	64	4	91	20	161	0
0.633	1	2	64	4	50	20	161	1
0.633	1	11	64	4	58	20	161	1
0.399	1	1	40	10	1	28	2292	0
0.4	1	1	41	1	1	28	2292	0
0.634	1	13	64	5	94	20	161	0
0.634	1	3	64	5	96	20	161	0
0.634	1	10	64	5	63	20	161	1
0.634	1	8	64	5	71	20	161	1
0.401	1	1	41	2	1	28	2292	0
0.402	1	1	41	3	1	28	2292	0
0.403	1	1	41	4	1	28	2292	0
0.404	1	1	41	5	1	28	2292	0
0.635	1	14	64	6	1	20	161	0
0.635	1	15	64	6	12	20	161	0
0.635	1	4	64	6	78	20	161	1
0.635	1	12	64	6	82	20	161	1
0.636	1	5	64	7	20	20	161	0
0.636	1	7	64	7	29	20	161	0
0.636	1	1	64	7	87	20	161	1
0.636	1	6	64	7	91	20	161	1
0.637	1	9	64	8	39	20	161	0
0.637	1	2	64	8	50	20	161	0
0.637	1	13	64	8	94	20	161	1
0.637	1	3	64	8	96	20	161	1
0.638	1	11	64	9	58	20	161	0
0.638	1	10	64	9	63	20	161	0
0.638	1	14	64	9	1	20	161	1
0.638	1	15	64	9	12	20	161	1
0.639	1	8	64	10	71	20	161	0
0.639	1	4	64	10	78	20	161	0
0.639	1	5	64	10	20	20	161	1
0.639	1	7	64	10	29	20	161	1
0.64	1	12	65	1	82	20	161	0
0.64	1	1	65	1	87	20	161	0
0.64	1	9	65	1	39	20	161	1
0.64	1	2	65	1	50	20	161	1
0.641	1	6	65	2	91	20	161	0
0.641	1	13	65	2	94	20	161	0
0.641	1	11	65	2	58	20	161	1
0.641	1	10	65	2	63	20	161	1
0.642	1	3	65	3	96	20	161	0
0.642	1	14	65	3	1	20	161	0
0.642	1	8	65	3	71	20	161	1
0.642	1	4	65	3	78	20	161	1
0.643	1	15	65	4	12	20	161	0
0.643	1	5	65	4	20	20	161	0
0.643	1	12	65	4	82	20	161	1
0.643	1	1	65	4	87	20	161	1
0.644	1	7	65	5	29	20	161	0
0.644	1	9	65	5	39	20	161	0
0.644	1	6	65	5	91	20	161	1
0.644	1	13	65	5	94	20	161	1
0.645	1	2	65	6	50	20	161	0
0.645	1	11	65	6	58	20	161	0
0.645	1	3	65	6	96	20	161	1
0.645	1	14	65	6	1	20	161	1
0.646	1	10	65	7	63	20	161	0
0.646	1	8	65	7	71	20	161	0
0.646	1	15	65	7	12	20	161	1
0.646	1	5	65	7	20	20	161	1
0.647	1	4	65	8	78	20	161	0
0.647	1	12	65	8	82	20	161	0
0.647	1	7	65	8	29	20	161	1
0.647	1	9	65	8	39	20	161	1
0.648	1	1	65	9	87	20	161	0
0.648	1	6	65	9	91	20	161	0
0.648	1	2	65	9	50	20	161	1
0.648	1	11	65	9	58	20	161	1
0.649	1	13	65	10	94	20	161	0
0.649	1	3	65	10	96	20	161	0
0.649	1	10	65	10	63	20	161	1
0.649	1	8	65	10	71	20	161	1
0.65	1	14	66	1	1	20	161	0
0.65	1	15	66	1	12	20	161	0
0.65	1	4	66	1	78	20	161	1
0.65	1	12	66	1	82	20	161	1
0.651	1	5	66	2	20	20	161	0
0.651	1	7	66	2	29	20	161	0
0.651	1	1	66	2	87	20	161	1
0.651	1	6	66	2	91	20	161	1
0.652	1	9	66	3	39	20	161	0
0.652	1	2	66	3	50	20	161	0
0.652	1	13	66	3	94	20	161	1
0.652	1	3	66	3	96	20	161	1
0.653	1	11	66	4	58	20	161	0
0.653	1	10	66	4	63	20	161	0
0.653	1	14	66	4	1	20	161	1
0.653	1	15	66	4	12	20	161	1
0.654	1	8	66	5	71	20	161	0
0.654	1	4	66	5	78	20	161	0
0.654	1	5	66	5	20	20	161	1
0.654	1	7	66	5	29	20	161	1
0.655	1	12	66	6	82	20	161	0
0.655	1	1	66	6	87	20	161	0
0.655	1	9	66	6	39	20	161	1
0.655	1	2	66	6	50	20	161	1
0.656	1	6	66	7	91	20	161	0
0.656	1	13	66	7	94	20	161	0
0.656	1	11	66	7	58	20	161	1
0.656	1	10	66	7	63	20	161	1
0.657	1	3	66	8	96	20	161	0
0.657	1	14	66	8	1	20	161	0
0.657	1	8	66	8	71	20	161	1
0.657	1	4	66	8	78	20	161	1
0.658	1	15	66	9	12	20	161	0
0.658	1	5	66	9	20	20	161	0
0.658	1	12	66	9	82	20	161	1
0.658	1	1	66	9	87	20	161	1
0.659	1	7	66	10	29	20	161	0
0.659	1	9	66	10	39	20	161	0
0.659	1	6	66	10	91	20	161	1
0.659	1	13	66	10	94	20	161	1
0.66	1	2	67	1	50	20	161	0
0.66	1	11	67	1	58	20	161	0
0.66	1	3	67	1	96	20	161	1
0.66	1	14	67	1	1	20	161	1
0.661	1	10	67	2	63	20	161	0
0.661	1	8	67	2	71	20	161	0
0.661	1	15	67	2	12	20	161	1
0.661	1	5	67	2	20	20	161	1
0.662	1	4	67	3	78	20	161	0
0.662	1	12	67	3	82	20	161	0
0.662	1	7	67	3	29	20	161	1
0.662	1	9	67	3	39	20	161	1
0.663	1	1	67	4	87	20	161	0
0.663	1	6	67	4	91	20	161	0
0.663	1	2	67	4	50	20	161	1
0.663	1	11	67	4	58	20	161	1
0.664	1	13	67	5	94	20	161	0
0.664	1	3	67	5	96	20	161	0
0.664	1	10	67	5	63	20	161	1
0.664	1	8	67	5	71	20	161	1
0.665	1	14	67	6	1	20	161	0
0.665	1	15	67	6	12	20	161	0
0.665	1	4	67	6	78	20	161	1
0.665	1	12	67	6	82	20	161	1
0.666	1	5	67	7	20	20	161	0
0.666	1	7	67	7	29	20	161	0
0.666	1	1	67	7	87	20	161	1
0.666	1	6	67	7	91	20	161	1
0.667	1	9	67	8	39	20	161	0
0.667	1	2	67	8	50	20	161	0
0.667	1	13	67	8	94	20	161	1
0.667	1	3	67	8	96	20	161	1
0.668	1	11	67	9	58	20	161	0
0.668	1	10	67	9	63	20	161	0
0.668	1	14	67	9	1	20	161	1
0.668	1	15	67	9	12	20	161	1
0.669	1	8	67	10	71	20	161	0
0.669	1	4	67	10	78	20	161	0
0.669	1	5	67	10	20	20	161	1
0.669	1	7	67	10	29	20	161	1
0.67	1	12	68	1	82	20	161	0
0.67	1	1	68	1	87	20	161	0
0.67	1	9	68	1	39	20	161	1
0.67	1	2	68	1	50	20	161	1
0.671	1	6	68	2	91	20	161	0
0.671	1	13	68	2	94	20	161	0
0.671	1	11	68	2	58	20	161	1
0.671	1	10	68	2	63	20	161	1
0.672	1	3	68	3	96	20	161	0
0.672	1	14	68	3	1	20	161	0
0.672	1	8	68	3	71	20	161	1
0.672	1	4	68	3	78	20	161	1
0.673	1	15	68	4	12	20	161	0
0.673	1	5	68	4	20	20	161	0
0.673	1	12	68	4	82	20	161	1
0.673	1	1	68	4	87	20	161	1
0.674	1	7	68	5	29	20	161	0
0.674	1	9	68	5	39	20	161	0
0.674	1	6	68	5	91	20	161	1
0.674	1	13	68	5	94	20	161	1
0.675	1	2	68	6	50	20	161	0
0.675	1	11	68	6	58	20	161	0
0.675	1	3	68	6	96	20	161	1
0.675	1	14	68	6	1	20	161	1
0.676	1	10	68	7	63	20	161	0
0.676	1	8	68	7	71	20	161	0
0.676	1	15	68	7	12	20	161	1
0.676	1	5	68	7	20	20	161	1
0.677	1	4	68	8	78	20	161	0
0.677	1	12	68	8	82	20	161	0
0.677	1	7	68	8	29	20	161	1
0.677	1	9	68	8	39	20	161	1
0.678	1	1	68	9	87	20	161	0
0.678	1	6	68	9	91	20	161	0
0.678	1	2	68	9	50	20	161	1
0.678	1	11	68	9	58	20	161	1
0.679	1	13	68	10	94	20	161	0
0.679	1	3	68	10	96	20	161	0
0.679	1	10	68	10	63	20	161	1
0.679	1	8	68	10	71	20	161	1
0.68	1	14	69	1	1	20	161	0
0.68	1	15	69	1	12	20	161	0
0.68	1	4	69	1	78	20	161	1
0.68	1	12	69	1	82	20	161	1
0.681	1	5	69	2	20	20	161	0
0.681	1	7	69	2	29	20	161	0
0.681	1	1	69	2	87	20	161	1
0.681	1	6	69	2	91	20	161	1
0.682	1	9	69	3	39	20	161	0
0.682	1	2	69	3	50	20	161	0
0.682	1	13	69	3	94	20	161	1
0.682	1	3	69	3	96	20	161	1
0.683	1	11	69	4	58	20	161	0
0.683	1	10	69	4	63	20	161	0
0.683	1	14	69	4	1	20	161	1
0.683	1	15	69	4	12	20	161	1
0.684	1	8	69	5	71	20	161	0
0.684	1	4	69	5	78	20	161	0
0.684	1	5	69	5	20	20	161	1
0.684	1	7	69	5	29	20	161	1
0.685	1	12	69	6	82	20	161	0
0.685	1	1	69	6	87	20	161	0
0.685	1	9	69	6	39	20	161	1
0.685	1	2	69	6	50	20	161	1
0.686	1	6	69	7	91	20	161	0
0.686	1	13	69	7	94	20	161	0
0.686	1	11	69	7	58	20	161	1
0.686	1	10	69	7	63	20	161	1
0.687	1	3	69	8	96	20	161	0
0.687	1	14	69	8	1	20	161	0
0.687	1	8	69	8	71	20	161	1
0.687	1	4	69	8	78	20	161	1
0.688	1	15	69	9	12	20	161	0
0.688	1	5	69	9	20	20	161	0
0.688	1	12	69	9	82	20	161	1
0.688	1	1	69	9	87	20	161	1
0.689	1	7	69	10	29	20	161	0
0.689	1	9	69	10	39	20	161	0
0.689	1	6	69	10	91	20	161	1
0.689	1	13	69	10	94	20	161	1
0.69	1	2	70	1	50	20	161	0
0.69	1	11	70	1	58	20	161	0
0.69	1	3	70	1	96	20	161	1
0.69	1	14	70	1	1	20	161	1
0.691	1	10	70	2	63	20	161	0
0.691	1	8	70	2	71	20	161	0
0.691	1	15	70	2	12	20	161	1
0.691	1	5	70	2	20	20	161	1
0.692	1	4	70	3	78	20	161	0
0.692	1	12	70	3	82	20	161	0
0.692	1	7	70	3	29	20	161	1
0.692	1	9	70	3	39	20	161	1
0.693	1	1	70	4	87	20	161	0
0.693	1	6	70	4	91	20	161	0
0.693	1	2	70	4	50	20	161	1
0.693	1	11	70	4	58	20	161	1
0.694	1	13	70	5	94	20	161	0
0.694	1	3	70	5	96	20	161	0
0.694	1	10	70	5	63	20	161	1
0.694	1	8	70	5	71	20	161	1
0.695	1	14	70	6	1	20	161	0
0.695	1	15	70	6	12	20	161	0
0.695	1	4	70	6	78	20	161	1
0.695	1	12	70	6	82	20	161	1
0.696	1	5	70	7	20	20	161	0
0.696	1	7	70	7	29	20	161	0
0.696	1	1	70	7	87	20	161	1
0.696	1	6	70	7	91	20	161	1
0.697	1	9	70	8	39	20	161	0
0.697	1	2	70	8	50	20	161	0
0.697	1	13	70	8	94	20	161	1
0.697	1	3	70	8	96	20	161	1
0.698	1	11	70	9	58	20	161	0
0.698	1	10	70	9	63	20	161	0
0.698	1	14	70	9	1	20	161	1
0.698	1	15	70	9	12	20	161	1
0.699	1	8	70	10	71	20	161	0
0.699	1	4	70	10	78	20	161	0
0.699	1	5	70	10	20	20	161	1
0.699	1	7	70	10	29	20	161	1
0.7	1	12	71	1	82	20	161	0
0.7	1	1	71	1	87	20	161	0
0.7	1	9	71	1	39	20	161	1
0.7	1	2	71	1	50	20	161	1
0.701	1	6	71	2	91	20	161	0
0.701	1	13	71	2	94	20	161	0
0.701	1	11	71	2	58	20	161	1
0.701	1	10	71	2	63	20	161	1
0.702	1	3	71	3	96	20	161	0
0.702	1	14	71	3	1	20	161	0
0.702	1	8	71	3	71	20	161	1
0.702	1	4	71	3	78	20	161	1
0.703	1	15	71	4	12	20	161	0
0.703	1	5	71	4	20	20	161	0
0.703	1	12	71	4	82	20	161	1
0.703	1	1	71	4	87	20	161	1
0.704	1	7	71	5	29	20	161	0
0.704	1	9	71	5	39	20	161	0
0.704	1	6	71	5	91	20	161	1
0.704	1	13	71	5	94	20	161	1
0.705	1	2	71	6	50	20	161	0
0.705	1	11	71	6	58	20	161	0
0.705	1	3	71	6	96	20	161	1
0.705	1	14	71	6	1	20	161	1
0.706	1	10	71	7	63	20	161	0
0.706	1	8	71	7	71	20	161	0
0.706	1	15	71	7	12	20	161	1
0.706	1	5	71	7	20	20	161	1
0.707	1	4	71	8	78	20	161	0
0.707	1	12	71	8	82	20	161	0
0.707	1	7	71	8	29	20	161	1
0.707	1	9	71	8	39	20	161	1
0.708	1	1	71	9	87	20	161	0
0.708	1	6	71	9	91	20	161	0
0.708	1	2	71	9	50	20	161	1
0.708	1	11	71	9	58	20	161	1
0.709	1	13	71	10	94	20	161	0
0.709	1	3	71	10	96	20	161	0
0.709	1	10	71	10	63	20	161	1
0.709	1	8	71	10	71	20	161	1
0.71	1	14	72	1	1	20	161	0
0.71	1	15	72	1	12	20	161	0
0.71	1	4	72	1	78	20	161	1
0.71	1	12	72	1	82	20	161	1
0.711	1	5	72	2	20	20	161	0
0.711	1	7	72	2	29	20	161	0
0.711	1	1	72	2	87	20	161	1
0.711	1	6	72	2	91	20	161	1
0.712	1	9	72	3	39	20	161	0
0.712	1	2	72	3	50	20	161	0
0.712	1	13	72	3	94	20	161	1
0.712	1	3	72	3	96	20	161	1
0.713	1	11	72	4	58	20	161	0
0.713	1	10	72	4	63	20	161	0
0.713	1	14	72	4	1	20	161	1
0.713	1	15	72	4	12	20	161	1
0.714	1	8	72	5	71	20	161	0
0.714	1	4	72	5	78	20	161	0
0.714	1	5	72	5	20	20	161	1
0.714	1	7	72	5	29	20	161	1
0.715	1	12	72	6	82	20	161	0
0.715	1	1	72	6	87	20	161	0
0.715	1	9	72	6	39	20	161	1
0.715	1	2	72	6	50	20	161	1
0.716	1	6	72	7	91	20	161	0
0.716	1	13	72	7	94	20	161	0
0.716	1	11	72	7	58	20	161	1
0.716	1	10	72	7	63	20	161	1
0.717	1	3	72	8	96	20	161	0
0.717	1	14	72	8	1	20	161	0
0.717	1	8	72	8	71	20	161	1
0.717	1	4	72	8	78	20	161	1
0.718	1	15	72	9	12	20	161	0
0.718	1	5	72	9	20	20	161	0
0.718	1	12	72	9	82	20	161	1
0.718	1	1	72	9	87	20	161	1
0.719	1	7	72	10	29	20	161	0
0.719	1	9	72	10	39	20	161	0
0.719	1	6	72	10	91	20	161	1
0.719	1	13	72	10	94	20	161	1
0.72	1	2	73	1	50	20	161	0
0.72	1	11	73	1	58	20	161	0
0.72	1	3	73	1	96	20	161	1
0.72	1	14	73	1	1	20	161	1
0.721	1	10	73	2	63	20	161	0
0.721	1	8	73	2	71	20	161	0
0.721	1	15	73	2	12	20	161	1
0.721	1	5	73	2	20	20	161	1
0.722	1	4	73	3	78	20	161	0
0.722	1	12	73	3	82	20	161	0
0.722	1	7	73	3	29	20	161	1
0.722	1	9	73	3	39	20	161	1
0.723	1	1	73	4	87	20	161	0
0.723	1	6	73	4	91	20	161	0
0.723	1	2	73	4	50	20	161	1
0.723	1	11	73	4	58	20	161	1
0.724	1	13	73	5	94	20	161	0
0.724	1	3	73	5	96	20	161	0
0.724	1	10	73	5	63	20	161	1
0.724	1	8	73	5	71	20	161	1
0.725	1	14	73	6	1	20	161	0
0.725	1	15	73	6	12	20	161	0
0.725	1	4	73	6	78	20	161	1
0.725	1	12	73	6	82	20	161	1
0.726	1	5	73	7	20	20	161	0
0.726	1	7	73	7	29	20	161	0
0.726	1	1	73	7	87	20	161	1
0.726	1	6	73	7	91	20	161	1
0.727	1	9	73	8	39	20	161	0
0.727	1	2	73	8	50	20	161	0
0.727	1	13	73	8	94	20	161	1
0.727	1	3	73	8	96	20	161	1
0.728	1	11	73	9	58	20	161	0
0.728	1	10	73	9	63	20	161	0
0.728	1	14	73	9	1	20	161	1
0.728	1	15	73	9	12	20	161	1
0.729	1	8	73	10	71	20	161	0
0.729	1	4	73	10	78	20	161	0
0.729	1	5	73	10	20	20	161	1
0.729	1	7	73	10	29	20	161	1
0.73	1	12	74	1	82	20	161	0
