% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.656	1	14	66	7	1	28	549	0	0	0
0.656	1	14	66	7	1	28	549	0	0	1
0.657	1	1	66	8	87	28	549	0	0	0
0.657	1	1	66	8	87	28	549	0	0	1
0.658	1	11	66	9	58	28	549	0	0	0
0.658	1	11	66	9	58	28	549	0	0	1
0.659	1	15	66	10	12	28	549	0	0	0
0.659	1	15	66	10	12	28	549	0	0	1
0.66	1	6	67	1	91	28	549	0	0	0
0.66	1	6	67	1	91	28	549	0	0	1
0.661	1	10	67	2	63	28	549	0	0	0
0.661	1	10	67	2	63	28	549	0	0	1
0.662	1	5	67	3	20	28	549	0	0	0
0.662	1	5	67	3	20	28	549	0	0	1
0.663	1	13	67	4	94	28	549	0	0	0
0.663	1	13	67	4	94	28	549	0	0	1
0.664	1	3	67	5	96	28	549	0	0	0
0.664	1	3	67	5	96	28	549	0	0	1
0.665	1	8	67	6	71	28	549	0	0	0
0.665	1	8	67	6	71	28	549	0	0	1
0.666	1	7	67	7	29	28	549	0	0	0
0.666	1	7	67	7	29	28	549	0	0	1
0.667	1	4	67	8	78	28	549	0	0	0
0.667	1	4	67	8	78	28	549	0	0	1
0.668	1	9	67	9	39	28	549	0	0	0
0.668	1	9	67	9	39	28	549	0	0	1
0.669	1	12	67	10	82	28	549	0	0	0
0.669	1	12	67	10	82	28	549	0	0	1
0.67	1	2	68	1	50	28	549	0	0	0
0.67	1	2	68	1	50	28	549	0	0	1
0.671	1	14	68	2	1	28	549	0	0	0
0.671	1	14	68	2	1	28	549	0	0	1
0.672	1	1	68	3	87	28	549	0	0	0
0.672	1	1	68	3	87	28	549	0	0	1
0.673	1	11	68	4	58	28	549	0	0	0
0.673	1	11	68	4	58	28	549	0	0	1
0.674	1	15	68	5	12	28	549	0	0	0
0.674	1	15	68	5	12	28	549	0	0	1
0.675	1	6	68	6	91	28	549	0	0	0
0.675	1	6	68	6	91	28	549	0	0	1
0.676	1	10	68	7	63	28	549	0	0	0
0.676	1	10	68	7	63	28	549	0	0	1
0.677	1	5	68	8	20	28	549	0	0	0
0.677	1	5	68	8	20	28	549	0	0	1
0.678	1	13	68	9	94	28	549	0	0	0
0.678	1	13	68	9	94	28	549	0	0	1
0.679	1	3	68	10	96	28	549	0	0	0
0.679	1	3	68	10	96	28	549	0	0	1
0.68	1	8	69	1	71	28	549	0	0	0
0.68	1	8	69	1	71	28	549	0	0	1
0.681	1	7	69	2	29	28	549	0	0	0
0.681	1	7	69	2	29	28	549	0	0	1
0.682	1	4	69	3	78	28	549	0	0	0
0.682	1	4	69	3	78	28	549	0	0	1
0.683	1	9	69	4	39	28	549	0	0	0
0.683	1	9	69	4	39	28	549	0	0	1
0.684	1	12	69	5	82	28	549	0	0	0
0.684	1	12	69	5	82	28	549	0	0	1
0.685	1	2	69	6	50	28	549	0	0	0
0.685	1	2	69	6	50	28	549	0	0	1
0.686	1	14	69	7	1	28	549	0	0	0
0.686	1	14	69	7	1	28	549	0	0	1
0.687	1	1	69	8	87	28	549	0	0	0
0.687	1	1	69	8	87	28	549	0	0	1
0.688	1	11	69	9	58	28	549	0	0	0
0.688	1	11	69	9	58	28	549	0	0	1
0.689	1	15	69	10	12	28	549	0	0	0
0.689	1	15	69	10	12	28	549	0	0	1
0.69	1	6	70	1	91	28	549	0	0	0
0.69	1	6	70	1	91	28	549	0	0	1
0.691	1	10	70	2	63	28	549	0	0	0
0.691	1	10	70	2	63	28	549	0	0	1
0.692	1	5	70	3	20	28	549	0	0	0
0.692	1	5	70	3	20	28	549	0	0	1
0.693	1	13	70	4	94	28	549	0	0	0
0.693	1	13	70	4	94	28	549	0	0	1
0.694	1	3	70	5	96	28	549	0	0	0
0.694	1	3	70	5	96	28	549	0	0	1
0.695	1	8	70	6	71	28	549	0	0	0
0.695	1	8	70	6	71	28	549	0	0	1
0.696	1	7	70	7	29	28	549	0	0	0
0.696	1	7	70	7	29	28	549	0	0	1
0.697	1	4	70	8	78	28	549	0	0	0
0.697	1	4	70	8	78	28	549	0	0	1
0.698	1	9	70	9	39	28	549	0	0	0
0.698	1	9	70	9	39	28	549	0	0	1
0.699	1	12	70	10	82	28	549	0	0	0
0.699	1	12	70	10	82	28	549	0	0	1
0.7	1	2	71	1	50	28	549	0	0	0
0.7	1	2	71	1	50	28	549	0	0	1
0.701	1	14	71	2	1	28	549	0	0	0
0.701	1	14	71	2	1	28	549	0	0	1
0.702	1	1	71	3	87	28	549	0	0	0
0.702	1	1	71	3	87	28	549	0	0	1
0.703	1	11	71	4	58	28	549	0	0	0
0.703	1	11	71	4	58	28	549	0	0	1
0.704	1	15	71	5	12	28	549	0	0	0
0.704	1	15	71	5	12	28	549	0	0	1
0.705	1	6	71	6	91	28	549	0	0	0
0.705	1	6	71	6	91	28	549	0	0	1
0.706	1	10	71	7	63	28	549	0	0	0
0.706	1	10	71	7	63	28	549	0	0	1
0.707	1	5	71	8	20	28	549	0	0	0
0.707	1	5	71	8	20	28	549	0	0	1
0.708	1	13	71	9	94	28	549	0	0	0
0.708	1	13	71	9	94	28	549	0	0	1
0.709	1	3	71	10	96	28	549	0	0	0
0.709	1	3	71	10	96	28	549	0	0	1
0.71	1	8	72	1	71	28	549	0	0	0
0.71	1	8	72	1	71	28	549	0	0	1
0.711	1	7	72	2	29	28	549	0	0	0
0.711	1	7	72	2	29	28	549	0	0	1
0.712	1	4	72	3	78	28	549	0	0	0
0.712	1	4	72	3	78	28	549	0	0	1
0.713	1	9	72	4	39	28	549	0	0	0
0.713	1	9	72	4	39	28	549	0	0	1
0.714	1	12	72	5	82	28	549	0	0	0
0.714	1	12	72	5	82	28	549	0	0	1
0.715	1	2	72	6	50	28	549	0	0	0
0.715	1	2	72	6	50	28	549	0	0	1
0.716	1	14	72	7	1	28	549	0	0	0
0.716	1	14	72	7	1	28	549	0	0	1
0.717	1	1	72	8	87	28	549	0	0	0
0.717	1	1	72	8	87	28	549	0	0	1
0.718	1	11	72	9	58	28	549	0	0	0
0.718	1	11	72	9	58	28	549	0	0	1
0.719	1	15	72	10	12	28	549	0	0	0
0.719	1	15	72	10	12	28	549	0	0	1
0.72	1	6	73	1	91	28	549	0	0	0
0.72	1	6	73	1	91	28	549	0	0	1
0.721	1	10	73	2	63	28	549	0	0	0
0.721	1	10	73	2	63	28	549	0	0	1
0.722	1	5	73	3	20	28	549	0	0	0
0.722	1	5	73	3	20	28	549	0	0	1
0.723	1	13	73	4	94	28	549	0	0	0
0.723	1	13	73	4	94	28	549	0	0	1
0.724	1	3	73	5	96	28	549	0	0	0
0.724	1	3	73	5	96	28	549	0	0	1
0.725	1	8	73	6	71	28	549	0	0	0
0.725	1	8	73	6	71	28	549	0	0	1
0.726	1	7	73	7	29	28	549	0	0	0
0.726	1	7	73	7	29	28	549	0	0	1
0.727	1	4	73	8	78	28	549	0	0	0
0.727	1	4	73	8	78	28	549	0	0	1
0.728	1	9	73	9	39	28	549	0	0	0
0.728	1	9	73	9	39	28	549	0	0	1
0.729	1	12	73	10	82	28	549	0	0	0
0.729	1	12	73	10	82	28	549	0	0	1
0.73	1	2	74	1	50	28	549	0	0	0
0.73	1	2	74	1	50	28	549	0	0	1
0.731	1	14	74	2	1	28	549	0	0	0
0.731	1	14	74	2	1	28	549	0	0	1
0.732	1	1	74	3	87	28	549	0	0	0
0.732	1	1	74	3	87	28	549	0	0	1
0.733	1	11	74	4	58	28	549	0	0	0
0.733	1	11	74	4	58	28	549	0	0	1
0.734	1	15	74	5	12	28	549	0	0	0
0.734	1	15	74	5	12	28	549	0	0	1
0.735	1	6	74	6	91	28	549	0	0	0
0.735	1	6	74	6	91	28	549	0	0	1
0.736	1	10	74	7	63	28	549	0	0	0
0.736	1	10	74	7	63	28	549	0	0	1
0.737	1	5	74	8	20	28	549	0	0	0
0.737	1	5	74	8	20	28	549	0	0	1
0.738	1	13	74	9	94	28	549	0	0	0
0.738	1	13	74	9	94	28	549	0	0	1
0.739	1	3	74	10	96	28	549	0	0	0
0.739	1	3	74	10	96	28	549	0	0	1
0.74	1	8	75	1	71	28	549	0	0	0
0.74	1	8	75	1	71	28	549	0	0	1
0.741	1	7	75	2	29	28	549	0	0	0
0.741	1	7	75	2	29	28	549	0	0	1
0.742	1	4	75	3	78	28	549	0	0	0
0.742	1	4	75	3	78	28	549	0	0	1
0.743	1	9	75	4	39	28	549	0	0	0
0.743	1	9	75	4	39	28	549	0	0	1
0.744	1	12	75	5	82	28	549	0	0	0
0.744	1	12	75	5	82	28	549	0	0	1
0.745	1	2	75	6	50	28	549	0	0	0
0.745	1	2	75	6	50	28	549	0	0	1
0.746	1	14	75	7	1	28	549	0	0	0
0.746	1	14	75	7	1	28	549	0	0	1
0.747	1	1	75	8	87	28	549	0	0	0
0.747	1	1	75	8	87	28	549	0	0	1
0.748	1	11	75	9	58	28	549	0	0	0
0.748	1	11	75	9	58	28	549	0	0	1
0.749	1	15	75	10	12	28	549	0	0	0
0.749	1	15	75	10	12	28	549	0	0	1
0.75	1	6	76	1	91	28	549	0	0	0
0.75	1	6	76	1	91	28	549	0	0	1
0.751	1	10	76	2	63	28	549	0	0	0
0.751	1	10	76	2	63	28	549	0	0	1
0.752	1	5	76	3	20	28	549	0	0	0
0.752	1	5	76	3	20	28	549	0	0	1
0.753	1	13	76	4	94	28	549	0	0	0
0.753	1	13	76	4	94	28	549	0	0	1
0.754	1	3	76	5	96	28	549	0	0	0
0.754	1	3	76	5	96	28	549	0	0	1
0.755	1	8	76	6	71	28	549	0	0	0
0.755	1	8	76	6	71	28	549	0	0	1
0.756	1	7	76	7	29	28	549	0	0	0
0.756	1	7	76	7	29	28	549	0	0	1
0.757	1	4	76	8	78	28	549	0	0	0
0.757	1	4	76	8	78	28	549	0	0	1
0.758	1	9	76	9	39	28	549	0	0	0
0.758	1	9	76	9	39	28	549	0	0	1
0.759	1	12	76	10	82	28	549	0	0	0
0.759	1	12	76	10	82	28	549	0	0	1
0.76	1	2	77	1	50	28	549	0	0	0
0.76	1	2	77	1	50	28	549	0	0	1
0.761	1	14	77	2	1	28	549	0	0	0
0.761	1	14	77	2	1	28	549	0	0	1
0.762	1	1	77	3	87	28	549	0	0	0
0.762	1	1	77	3	87	28	549	0	0	1
0.763	1	11	77	4	58	28	549	0	0	0
0.763	1	11	77	4	58	28	549	0	0	1
0.764	1	15	77	5	12	28	549	0	0	0
0.764	1	15	77	5	12	28	549	0	0	1
0.765	1	6	77	6	91	28	549	0	0	0
0.765	1	6	77	6	91	28	549	0	0	1
0.766	1	10	77	7	63	28	549	0	0	0
0.766	1	10	77	7	63	28	549	0	0	1
0.767	1	5	77	8	20	28	549	0	0	0
0.767	1	5	77	8	20	28	549	0	0	1
0.768	1	13	77	9	94	28	549	0	0	0
0.768	1	13	77	9	94	28	549	0	0	1
0.769	1	3	77	10	96	28	549	0	0	0
0.769	1	3	77	10	96	28	549	0	0	1
1.625	2	1	163	6	1	0	81	0	0	0
0.77	1	8	78	1	71	28	549	0	0	0
0.77	1	8	78	1	71	28	549	0	0	1
0.771	1	7	78	2	29	28	549	0	0	0
0.771	1	7	78	2	29	28	549	0	0	1
1.64	2	1	165	1	1	28	2196	0	0	0
1.641	2	1	165	2	1	28	2196	0	0	0
1.642	2	1	165	3	1	28	2196	0	0	0
0.772	1	4	78	3	78	28	549	0	0	0
0.772	1	4	78	3	78	28	549	0	0	1
1.643	2	1	165	4	1	28	2196	0	0	0
1.644	2	1	165	5	1	28	2196	0	0	0
1.645	2	1	165	6	1	28	2196	0	0	0
1.646	2	1	165	7	1	28	2196	0	0	0
1.647	2	1	165	8	1	28	2196	0	0	0
1.648	2	1	165	9	1	28	2196	0	0	0
0.773	1	9	78	4	39	28	549	0	0	0
0.773	1	9	78	4	39	28	549	0	0	1
1.649	2	1	165	10	1	28	2196	0	0	0
1.65	2	1	166	1	1	28	2196	0	0	0
1.651	2	1	166	2	1	28	2196	0	0	0
1.652	2	1	166	3	1	28	2196	0	0	0
0.774	1	12	78	5	82	28	549	0	0	0
1.653	2	1	166	4	1	28	2196	0	0	0
0.774	1	12	78	5	82	28	549	0	0	1
1.654	2	1	166	5	1	28	2196	0	0	0
1.655	2	1	166	6	1	28	2196	0	0	0
1.656	2	1	166	7	1	28	2196	0	0	0
1.657	2	1	166	8	1	28	2196	0	0	0
1.658	2	1	166	9	1	28	2196	0	0	0
0.775	1	2	78	6	50	28	549	0	0	0
0.775	1	2	78	6	50	28	549	0	0	1
1.659	2	1	166	10	1	28	2196	0	0	0
1.66	2	1	167	1	1	28	2196	0	0	0
0.776	1	14	78	7	1	28	549	0	0	0
1.661	2	1	167	2	1	28	2196	0	0	0
0.776	1	14	78	7	1	28	549	0	0	1
1.662	2	1	167	3	1	28	2196	0	0	0
1.663	2	1	167	4	1	28	2196	0	0	0
1.664	2	1	167	5	1	28	2196	0	0	0
0.777	1	1	78	8	87	28	549	0	0	0
1.665	2	1	167	6	1	28	2196	0	0	0
0.777	1	1	78	8	87	28	549	0	0	1
1.666	2	1	167	7	1	28	2196	0	0	0
1.667	2	1	167	8	1	28	2196	0	0	0
0.778	1	11	78	9	58	28	549	0	0	0
1.668	2	1	167	9	1	28	2196	0	0	0
0.778	1	11	78	9	58	28	549	0	0	1
1.669	2	1	167	10	1	28	2196	0	0	0
1.67	2	1	168	1	1	28	2196	0	0	0
1.671	2	1	168	2	1	28	2196	0	0	0
0.779	1	15	78	10	12	28	549	0	0	0
1.672	2	1	168	3	1	28	2196	0	0	0
0.779	1	15	78	10	12	28	549	0	0	1
1.673	2	1	168	4	1	28	2196	0	0	0
1.674	2	1	168	5	1	28	2196	0	0	0
1.675	2	1	168	6	1	28	2196	0	0	0
0.78	1	6	79	1	91	28	549	0	0	0
0.78	1	6	79	1	91	28	549	0	0	1
1.676	2	1	168	7	1	28	2196	0	0	0
1.677	2	1	168	8	1	28	2196	0	0	0
1.678	2	1	168	9	1	28	2196	0	0	0
1.679	2	1	168	10	1	28	2196	0	0	0
0.781	1	10	79	2	63	28	549	0	0	0
0.781	1	10	79	2	63	28	549	0	0	1
1.68	2	1	169	1	1	28	2196	0	0	0
1.681	2	1	169	2	1	28	2196	0	0	0
0.782	1	5	79	3	20	28	549	0	0	0
0.782	1	5	79	3	20	28	549	0	0	1
1.682	2	1	169	3	1	28	2196	0	0	0
1.683	2	1	169	4	1	28	2196	0	0	0
1.684	2	1	169	5	1	28	2196	0	0	0
1.685	2	1	169	6	1	28	2196	0	0	0
0.783	1	13	79	4	94	28	549	0	0	0
0.783	1	13	79	4	94	28	549	0	0	1
1.686	2	1	169	7	1	28	2196	0	0	0
